,PMCID,Class_mean
86287,['7162159'],Relevant
87283,['7128465'],Relevant
87050,['7129073'],Relevant
86697,['7157935'],Relevant
87051,['7128915'],Relevant
86709,['7128303'],Relevant
87275,['7172567'],Relevant
87501,['7126403'],Relevant
84673,['7162236'],Relevant
87281,['7129790'],Relevant
83537,['7162356'],Relevant
87049,['7129694'],Relevant
86708,['7128322'],Relevant
87047,['7129916'],Relevant
17260,['7712907'],Relevant
87280,['7130065'],Relevant
87282,['7129476'],Relevant
47619,['5882019'],Relevant
69993,['4159373'],Relevant
86707,['7129824'],Relevant
30318,['6834656'],Relevant
84991,['7094699'],Relevant
67030,['7169652'],Relevant
87216,['7127784'],Relevant
66518,['4450548'],Relevant
83876,['7151875'],Relevant
22379,['7321139'],Relevant
70745,['4435065'],Relevant
6572,['8161019'],Relevant
25541,['7223789'],Relevant
85478,['2432466'],Relevant
45388,['5954276'],Relevant
22848,['7237229'],Relevant
31041,['7807382'],Relevant
74450,['7132744'],Relevant
25540,['7307902'],Relevant
83610,['7149697'],Relevant
82369,['7315328'],Relevant
61275,['5071768'],Relevant
68972,['7123564'],Relevant
86547,['2096525'],Relevant
85204,['3672683'],Relevant
49078,['5714879'],Relevant
68338,['4307249'],Relevant
46359,['6029659'],Relevant
13155,['7851017'],Relevant
29022,['6947519'],Relevant
68436,['4279029'],Relevant
87044,['7149788'],Relevant
59691,['4916776'],Relevant
73398,['3864160'],Relevant
16654,['7581709'],Relevant
41047,['6726285'],Relevant
77690,['3487222'],Relevant
61084,['4873609'],Relevant
38973,['6359636'],Relevant
8168,['8069917'],Relevant
9020,['7986493'],Relevant
40946,['6232662'],Relevant
54154,['7545776'],Relevant
23608,['7191674'],Relevant
3218,['8333196'],Relevant
6873,['8149597'],Relevant
14114,['7730216'],Relevant
35047,['6736374'],Relevant
31942,['6737605'],Relevant
7637,['8143556'],Relevant
6779,['8182300'],Relevant
72972,['3894933'],Relevant
25334,['7144564'],Relevant
16599,['7968404'],Relevant
69369,['4210910'],Relevant
5560,['8228748'],Relevant
53363,['5458069'],Relevant
41292,['6274759'],Relevant
17204,['7539235'],Relevant
28589,['6930155'],Relevant
8250,['8069557'],Relevant
43925,['6050364'],Relevant
50842,['5618209'],Relevant
10129,['7996784'],Relevant
85008,['7163932'],Relevant
38854,['6466574'],Relevant
11450,['7877762'],Relevant
3268,['8347454'],Relevant
12,['8514745'],Relevant
18155,['7476752'],Relevant
47844,['5789847'],Relevant
9933,['7928709'],Relevant
26347,['7076512'],Relevant
87274,['7278211'],Relevant
54546,['7121058'],Relevant
4268,['8297506'],Relevant
79387,['3350403'],Relevant
26351,['7074831'],Relevant
5372,['8233890'],Relevant
66153,['4895366'],Relevant
61150,['4814472'],Relevant
28065,['7020397'],Relevant
86706,['7129906'],Relevant
67109,['4392553'],Relevant
13561,['7737717'],Relevant
63115,['4698589'],Relevant
49605,['5695859'],Relevant
2573,['8389258'],Relevant
64163,['4669990'],Relevant
44062,['6032109'],Relevant
72907,['3899368'],Relevant
45171,['7169328'],Relevant
52785,['5508335'],Relevant
38169,['6406798'],Relevant
65440,['7158311'],Relevant
40431,['6247988'],Relevant
79978,['3747764'],Relevant
32839,['6691518'],Relevant
52433,['5672523'],Relevant
73764,['3856475'],Relevant
8743,['8067037'],Relevant
17175,['7522927'],Relevant
7328,['8146040'],Relevant
21415,['7356343'],Relevant
18913,['7468459'],Relevant
21365,['7353097'],Relevant
8351,['8067816'],Relevant
50692,['5602931'],Relevant
32211,['6769999'],Relevant
30048,['7123921'],Relevant
464,['8487283'],Relevant
65796,['7169352'],Relevant
19686,['7465454'],Relevant
32581,['7018532'],Relevant
34453,['6596283'],Relevant
10590,['7925834'],Relevant
36372,['6477937'],Relevant
36552,['6520671'],Relevant
23625,['7281972'],Relevant
65442,['7150197'],Relevant
86331,['7129621'],Relevant
15509,['7673413'],Relevant
12147,['7817282'],Relevant
30260,['6852216'],Relevant
37238,['6854844'],Relevant
38855,['6454276'],Relevant
19018,['7464666'],Relevant
28025,['7024214'],Relevant
18441,['7563300'],Relevant
65872,['4895374'],Relevant
67686,['4330916'],Relevant
30996,['6786605'],Relevant
61074,['4947986'],Relevant
9144,['8003567'],Relevant
48906,['5857365'],Relevant
52866,['7169272'],Relevant
57306,['5103241'],Relevant
36132,['6496039'],Relevant
65045,['4525730'],Relevant
10456,['8024917'],Relevant
6311,['8160265'],Relevant
50158,['5643470'],Relevant
26391,['7029220'],Relevant
22546,['7258707'],Relevant
7640,['8143475'],Relevant
12614,['7790597'],Relevant
6657,['8157006'],Relevant
59451,['6273484'],Relevant
27596,['7006735'],Relevant
159,['8496446'],Relevant
10383,['7926802'],Relevant
41265,['6272043'],Relevant
9337,['7987421'],Relevant
85115,['2643114'],Relevant
136,['8495465'],Relevant
62599,['4871635'],Relevant
49837,['7672684'],Relevant
34805,['7169345'],Relevant
21716,['7305820'],Relevant
43507,['6121494'],Relevant
31554,['6963833'],Relevant
40465,['6256756'],Relevant
3267,['8347492'],Relevant
31964,['6766498'],Relevant
47549,['5823473'],Relevant
70053,['4142553'],Relevant
77571,['3571982'],Relevant
29445,['6878619'],Relevant
2615,['8388863'],Relevant
75100,['3718787'],Relevant
38368,['6397511'],Relevant
62040,['4748050'],Relevant
48701,['5741684'],Relevant
64121,['4752587'],Relevant
19920,['7466372'],Relevant
18668,['7449125'],Relevant
40984,['6266017'],Relevant
75983,['3751702'],Relevant
10467,['7932999'],Relevant
55788,['7149986'],Relevant
6904,['8151233'],Relevant
15067,['7697847'],Relevant
37847,['6396450'],Relevant
54552,['5374592'],Relevant
5902,['8209731'],Relevant
37101,['6433957'],Relevant
24396,['7173466'],Relevant
69105,['7151863'],Relevant
12398,['7828190'],Relevant
2456,['8394870'],Relevant
50055,['5646798'],Relevant
5888,['8211732'],Relevant
39469,['6734470'],Relevant
87278,['7158198'],Relevant
67298,['4342972'],Relevant
86314,['2799065'],Relevant
31060,['6783444'],Relevant
4404,['8287944'],Relevant
48784,['5729233'],Relevant
70083,['7158324'],Relevant
73706,['3832451'],Relevant
466,['8487129'],Relevant
66893,['7152161'],Relevant
2737,['8383206'],Relevant
49354,['7158344'],Relevant
56948,['5118997'],Relevant
28480,['7020470'],Relevant
74264,['4070608'],Relevant
35892,['6509161'],Relevant
10641,['7932912'],Relevant
58998,['5008114'],Relevant
79028,['3373137'],Relevant
80135,['3284432'],Relevant
61877,['4757689'],Relevant
69520,['4212304'],Relevant
26358,['7072623'],Relevant
14894,['7698489'],Relevant
67917,['4371216'],Relevant
42848,['6330097'],Relevant
309,['8497813'],Relevant
79632,['3312335'],Relevant
26882,['7037027'],Relevant
36606,['6461078'],Relevant
52266,['5507300'],Relevant
65089,['4538407'],Relevant
82037,['7120757'],Relevant
52293,['5620185'],Relevant
78963,['7124020'],Relevant
2995,['8364636'],Relevant
19064,['7464486'],Relevant
59982,['5089577'],Relevant
84400,['2763101'],Relevant
6870,['8149751'],Relevant
52003,['5598894'],Relevant
65048,['4525378'],Relevant
4580,['8253142'],Relevant
53159,['5449762'],Relevant
53004,['5485445'],Relevant
68565,['7123643'],Relevant
36572,['6459573'],Relevant
27627,['7168330'],Relevant
24329,['7236604'],Relevant
57457,['7153405'],Relevant
52727,['5477375'],Relevant
32218,['6755358'],Relevant
57736,['5053965'],Relevant
71108,['7173591'],Relevant
5378,['8233780'],Relevant
71930,['7119925'],Relevant
5384,['8232820'],Relevant
87544,['7150080'],Relevant
16350,['7567792'],Relevant
35789,['6540193'],Relevant
63366,['4670752'],Relevant
38616,['6563732'],Relevant
37735,['6429336'],Relevant
43380,['6072103'],Relevant
12302,['7807510'],Relevant
11314,['7859188'],Relevant
8887,['8037464'],Relevant
4761,['8267673'],Relevant
5566,['8228603'],Relevant
17197,['7582680'],Relevant
35705,['6510447'],Relevant
5688,['8226031'],Relevant
86956,['7128890'],Relevant
63972,['4703069'],Relevant
36211,['6480722'],Relevant
12006,['7864038'],Relevant
57584,['7189961'],Relevant
2458,['8394763'],Relevant
505,['8484316'],Relevant
35148,['6550544'],Relevant
59276,['4946132'],Relevant
63465,['5023273'],Relevant
56754,['5302426'],Relevant
65559,['4537470'],Relevant
39755,['6321051'],Relevant
9724,['7938387'],Relevant
82803,['2947995'],Relevant
12461,['7830132'],Relevant
21958,['7307686'],Relevant
51913,['5527309'],Relevant
12684,['7883073'],Relevant
21448,['7311414'],Relevant
7440,['8079716'],Relevant
87032,['7133612'],Relevant
5517,['8229492'],Relevant
72808,['7126388'],Relevant
49600,['5745468'],Relevant
13161,['7822488'],Relevant
4721,['8268657'],Relevant
39859,['7166462'],Relevant
18523,['7559574'],Relevant
34463,['6591011'],Relevant
60069,['5260423'],Relevant
60384,['4865241'],Relevant
74958,['3747393'],Relevant
71948,['3983525'],Relevant
3783,['8310193'],Relevant
67815,['4337049'],Relevant
12182,['7830236'],Relevant
20721,['7347500'],Relevant
18578,['7559545'],Relevant
18911,['7468467'],Relevant
71793,['4429500'],Relevant
39147,['6331611'],Relevant
74926,['3733780'],Relevant
50510,['5666348'],Relevant
10438,['7924209'],Relevant
33092,['6696330'],Relevant
20545,['7400182'],Relevant
15114,['7664025'],Relevant
84329,['7165548'],Relevant
33632,['7009089'],Relevant
67926,['7122059'],Relevant
70451,['7124064'],Relevant
36706,['6476013'],Relevant
31936,['6766493'],Relevant
81777,['7149714'],Relevant
20742,['7368946'],Relevant
76759,['3568172'],Relevant
15532,['7609692'],Relevant
56777,['5126693'],Relevant
15916,['7663024'],Relevant
8095,['8076527'],Relevant
13969,['7761941'],Relevant
42239,['6145203'],Relevant
66763,['4405523'],Relevant
64333,['4585213'],Relevant
20248,['7409278'],Relevant
29606,['7188312'],Relevant
75071,['3735185'],Relevant
83878,['7148738'],Relevant
251,['8509153'],Relevant
55982,['7122484'],Relevant
16591,['7601869'],Relevant
54022,['5412166'],Relevant
868,['8470654'],Relevant
26254,['7073041'],Relevant
1181,['8461478'],Relevant
73472,['3857288'],Relevant
12389,['7835510'],Relevant
32723,['6925155'],Relevant
5876,['8213335'],Relevant
82816,['7498916'],Relevant
6713,['8123097'],Relevant
15205,['7711268'],Relevant
18640,['7504726'],Relevant
55135,['5333188'],Relevant
15001,['7697217'],Relevant
40037,['6304917'],Relevant
11719,['7912580'],Relevant
30495,['6963879'],Relevant
11367,['7884318'],Relevant
2876,['8371126'],Relevant
34168,['6682894'],Relevant
1472,['8441333'],Relevant
28834,['6917664'],Relevant
5660,['8226872'],Relevant
27603,['6978741'],Relevant
43309,['6080902'],Relevant
69029,['4220732'],Relevant
79079,['3372794'],Relevant
18096,['7507897'],Relevant
64588,['4559654'],Relevant
2576,['8389044'],Relevant
2917,['8370661'],Relevant
64162,['4669991'],Relevant
48202,['5764986'],Relevant
36987,['7256753'],Relevant
26218,['7035420'],Relevant
41388,['6796240'],Relevant
85090,['7094904'],Relevant
38869,['6351997'],Relevant
57483,['5086775'],Relevant
21626,['7344610'],Relevant
65676,['4485224'],Relevant
32025,['6977464'],Relevant
84631,['2680486'],Relevant
56416,['5168677'],Relevant
31544,['6804068'],Relevant
35900,['6627156'],Relevant
83603,['2848006'],Relevant
46386,['5923452'],Relevant
28706,['6979267'],Relevant
22727,['7244159'],Relevant
41726,['6222923'],Relevant
6869,['8149761'],Relevant
46765,['5869019'],Relevant
1410,['8444527'],Relevant
43863,['6053492'],Relevant
56454,['7166613'],Relevant
46516,['5892270'],Relevant
1628,['8431817'],Relevant
49779,['5684529'],Relevant
3409,['8334188'],Relevant
11196,['7913919'],Relevant
60120,['4890686'],Relevant
60802,['4837149'],Relevant
